Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Avg,State
2000,52.4,53.5,54.3,58.2,60.2,62.9,61.3,63.6,66.2,60,52.6,51.6,58.1,CA
2001,48.8,50.9,55.6,53.6,62.6,62.6,62.7,63.1,62.9,62.4,57.3,51.6,57.8,CA
2002,49,53.3,53.8,56.7,58,61.4,63.9,64.3,64.8,61.2,57.5,52.5,58,CA
2003,53.8,52.1,55.8,54.3,58.9,62.8,63,66.4,66.9,63.1,53.8,52,58.6,CA
2004,50.3,52.2,59.4,59.3,60.3,61.7,64.8,66.5,67.3,60.8,55.2,52.2,59.2,CA
2005,49.6,55,57.2,56.8,61.5,61.9,64.4,63.4,62.3,61.3,57.2,53,58.6,CA
2006,51.6,52.9,51,55.6,59.8,63.3,65.8,63.4,62.3,60.5,55.5,50.3,57.7,CA
2007,48,52.3,55.9,56,58.8,61.3,64.1,64.4,64.3,59.9,55.7,49.5,57.5,CA
2008,48.4,51.7,53.7,55.4,58.7,61.5,62.8,64.4,65,63.1,57.8,48.9,57.6,CA
2009,51.3,52.1,53.7,56.4,59.4,62.9,62.2,65.6,66.2,61.8,56.6,49.2,58.1,CA
2010,51.2,54,55.1,55.5,57.6,62.4,63,63.5,68.5,65.1,55,52.1,58.6,CA
2011,50.5,50.6,53.7,55.5,56.9,60.5,62.7,62.2,64.7,63,53.8,49.3,56.9,CA
2012,50.5,52.2,53.2,56.9,58.4,61.4,62.4,61.6,60.6,63.3,58.1,51.8,57.5,CA
2013,48.6,50.9,54.6,58.5,60.4,62.7,62.8,64.4,65.5,60.8,57.2,49.7,58,CA
2014,55.1,54.9,59,60.1,63.5,64.3,66.9,67,68.4,68.7,59.7,56.8,62,CA
2015,53.9,58.6,60.3,58.7,58.5,62.8,66.6,68,67.1,65.6,54.3,50.5,60.4,CA
2016,52.7,56.9,57.7,60.3,61.1,63.4,62.9,63.8,64.8,63.4,58.3,50.7,59.7,CA
2017,50.6,54.5,56.9,58.5,60.9,63.2,64.3,65.9,69.8,64.2,58.1,51.9,59.9,CA
2018,53.5,54.9,55.2,58.3,60.5,57.9,57.9,62.8,62.1,62.7,56.8,52.5,57.9,CA
2019,55,50,54.5,58.9,58.6,65.2,64.8,68.4,68.1,64.1,56.4,53.5,59.8,CA
2020,52.1,55.3,54.9,57.8,62.5,64.6,63.8,67,68.7,66.7,55.5,53.3,60.2,CA
2021,53.3,55.3,54.9,57.7,60.1,65.8,64.4,65.4,64.9,62.1,60.4,60.4,60.4,CA
2000,37.7,41.7,44.5,50.9,54,60.1,63.2,62.3,50.8,51.1,42.1,50.8,50.8,WA
2001,40.3,55.3,55.3,55.3,54.9,57.6,55.3,64.4,59.2,55.3,55.3,55.3,55.3,WA
2002,51.4,40.8,41.5,48,51.4,60.3,63.6,64.2,58.9,50.6,45.1,41.3,51.4,WA
2003,55.2,41,46.2,48.1,53.4,62.2,66.2,65.1,60.9,53.5,55.2,55.2,55.2,WA
2004,53.3,42.1,47.7,52.2,56.2,62,66.8,65.7,57.3,51.5,43.6,41.1,53.3,WA
2005,41.2,41.3,47.3,49.6,57.4,59.2,64.2,65.4,57.7,51.5,41.6,40.3,51.4,WA
2006,42.2,39.9,43.5,48.7,55.2,61.1,65.6,63.6,59.9,50.6,42.3,38.7,50.9,WA
2007,38.1,41.8,45.1,47.4,54.2,57.4,64.5,62.2,57.7,48.8,42.6,37.6,49.8,WA
2008,36,40.6,41.3,44,53.5,56.1,62.4,62.6,57.5,48.8,46,36.2,48.8,WA
2009,37,39.2,40.2,46.5,53.3,61.1,66.2,63,58.8,49.1,43.7,35.5,49.5,WA
2010,43.8,43.8,44.2,46.4,51.2,57.2,62.4,62.5,58,50.6,41.3,40.2,50.1,WA
2011,39.6,38.4,42.5,43.3,50.6,57,61.4,63.3,60.4,50.1,40.6,38.6,48.8,WA
2012,37.7,41.1,40.5,47.9,52.6,56.1,61.9,64.3,58.5,50.2,44.7,38.7,49.5,WA
2013,36.1,41.4,44.8,48.2,55.2,60,64.4,64.7,60,48.2,42.8,36.5,50.2,WA
2014,40.7,38,45.7,48.7,56.6,59.4,66,66.4,60.9,55,44,42,52,WA
2015,42.9,46.9,48,48.3,57.5,65.7,68.1,65.7,57.5,55,43.8,43.2,53.5,WA
2016,43.4,46.7,47.5,53.9,57.6,61.2,64.3,65.8,58.3,52,47.9,36,52.9,WA
2017,37,39.6,43.3,47.6,56.2,60.5,64.6,66.9,60.7,50.5,43.6,38,50.7,WA
2018,42.4,39.7,43.3,48.9,58.5,59.9,66.8,65.5,57.7,49.9,45.6,40.9,51.6,WA
2019,41.5,35.4,43.7,49.7,57.9,61.2,64.5,65.8,59.5,48.1,43.8,41.5,51.1,WA
2020,41.5,41.8,42.3,49.5,56.9,60.3,64.6,64.8,63,52.6,44.2,41.7,51.9,WA
2021,41.7,39.2,42.8,49.9,55.1,64.4,66.5,65.1,59.5,50,53.4,53.4,53.4,WA
2000,30,35.9,37.3,48.4,53.6,61.7,66,67.3,55.2,43.7,27.7,26.4,46.1,NV
2001,20.4,27.7,41,44.8,58.4,64.3,71.1,72,62.3,49.2,36.8,23.7,47.6,NV
2002,23.1,24.3,34.5,46.3,51.9,63.7,73.6,66.1,59.5,43.3,35.7,31.6,46.1,NV
2003,36.2,30.5,39.5,43.2,53.6,64.1,74.2,71,59.8,52,32.4,30.1,48.9,NV
2004,16.5,24.4,43.5,46.9,53.1,64,71.3,67.1,57.3,46.9,34.2,29.3,46.2,NV
2005,20.5,23.7,37.3,44.6,54.1,59,73.1,69,56.3,47.6,37.3,29.1,46,NV
2006,31.5,31,34.5,47.3,57,66.6,75.3,67.8,58.3,45.7,34.9,25.1,47.9,NV
2007,16.2,33,42.8,46.5,56,65.1,75.8,70.5,58.8,46.1,35.8,25.5,47.7,NV
2008,17.4,26.1,36.5,40.9,52.7,61.6,71.5,70.3,60.4,47.6,41.6,24.3,45.9,NV
